央视,#genre#
CCTV-1 综合,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv1HD
CCTV-2 财经,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv2HD
CCTV-3 综艺,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv3HD
CCTV-4 中文国际,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv4HD
CCTV-5 体育,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv5HD
CCTV-5+ 体育赛事,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv5SportHD
CCTV-6 电影,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv6HD
CCTV-7 国防军事,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv7HD
CCTV-8 电视剧,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv8HD
CCTV-9 纪录,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv9HD
CCTV-10 科教,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv10HD
CCTV-11 戏曲,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv11HD
CCTV-12 社会与法,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv12HD
CCTV-13 新闻,https://cntv.lat/tv/cctv.php?auth=231110&id=CCTVNewsHD
CCTV-14 少儿,https://cntv.lat/tv/cctv.php?auth=231110&id=cctvseHD
CCTV-15 音乐,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv15HD
CCTV-16 奥林匹克,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv16HD
CCTV-17 农业农村,https://cntv.lat/tv/cctv.php?auth=231110&id=cctv17HD
CCTV-4K 超高清,https://cntv.lat/tv/live.php?auth=231110&id=CCTV4K
CCTV-16 奥林匹克 4K,https://cntv.lat/tv/live.php?auth=231110&id=CCTV16_4K
CHC动作电影,https://cntv.lat/tv/live.php?auth=231110&id=chcdzdyHD
CHC家庭影院,https://cntv.lat/tv/live.php?auth=231110&id=chcjtyyHD
CHC高清电影,https://cntv.lat/tv/live.php?auth=231110&id=chcgqdyHD
风云剧场,https://cntv.lat/tv/live.php?auth=231110&id=fyjcHD
第一剧场,https://cntv.lat/tv/live.php?auth=231110&id=diyijuchangHD
女性时尚,https://cntv.lat/tv/live.php?auth=231110&id=nvxing
怀旧剧场,https://cntv.lat/tv/live.php?auth=231110&id=hjjcHD
风云音乐,https://cntv.lat/tv/live.php?auth=231110&id=fyyyHD
央视台球,https://cntv.lat/tv/live.php?auth=231110&id=ystqHD
